Lp.;Nazwa w≥asna;Telefon;Email;Charakter us≥ug;Kategoria obiektu;Rodzaj obiektu;Adres
1452;SU£KOWSKI CONFERENCE RESORT;65 537 11 00;sulkowski@hotel.sulkowski.pl;sta≥y;***;hotel;64-140 Boszkowo, dworcowa 15
1453;CUKROPOL;65 572 01 58;;sta≥y;***;hotel;63-800 GostyÒ, hutnika 14
1454;SALIN;12) 288-24-78;recepcja@hotelsalin.pl;sta≥y;***;hotel;32-020 Wieliczka, ul. Koúciuszki 5
1455;ZALESIE;(14) 611-90-04;info@restauracjazalesie.com;sta≥y;***;hotel;32-700 Bochnia, ul. Dπbrowskiego 1a
1456;Jarota;;;sta≥y;***;hotel;63-200 Jarocin, Sportowa 6
1457;hotel PONIATOWSKI;+48-48- 384-01-;recepcja@hotelponiatowski.radom.pl;sta≥y;***;hotel;26-600 Radom, Poniatowskiego 4
1458;HOTEL - RESTAURACJA SPICHLERZ;91-578-61-12;hotel@spichlerz.eu;sta≥y;***;hotel;73-110 Stargard SzczeciÒski, ul. Czarnieckiego 10
1459;DWOREK R”ØANY;77 45 10 045;;sta≥y;***;hotel;46-100 Namys≥Ûw, O≥awska
1460;CZARNA HANKA;672 552 458;;sta≥y;***;hotel;64-700 CzarnkÛw, Koúciuszki 130
1461;BARANOWSKI;+48(095) 758-21;hotelbaranowski@slubice.net;sta≥y;***;hotel;69-100 S≥ubice, Transportowa 4 c
1462;WIERCHOMLA SKI & SPA RESORT;(18) 414-33-33;hotel@wierchomla.com.pl;sta≥y;***;hotel;33-350 Piwniczna-ZdrÛj, Wierchomla Ma≥a 42
1463;ZAMKOWY;15 811 80 39;hotel.zamkowy@baranow.com.pl;sta≥y;***;hotel;39-450 BaranÛw Sandomierski, Zamkowa 20
1464;RACIBOR;+48 32 722 44 0;biuro@hotelracibor.pl;sta≥y;***;hotel;47-400 RacibÛrz, Wojska Polskiego 25
1465;KRISTOFF;62 76084 00;rezerwacja@kristoff.pl;sta≥y;***;hotel;62-814 £aszkÛw, ≥aszkÛw 8a
1466;HOTEL KAMIENICA;77 54 66 196;HOTEL.KAMIENICA@INTERIA.PL;sta≥y;***;hotel;45-040 Opole, pl. Kopernika 14
1467;DELICJUSZ;"(61) 810 81 08;";hotel@delicjusz.pl;sta≥y;***;hotel;62-060 Trzebaw, PoznaÒska 1
1468;DW”R DWIKOZY;158344436;recepcja@dwordwikozy.pl;sta≥y;***;hotel;27-620 Dwikozy, SpÛ≥dzielcza 12
1469;STAROMIEJSKI;446155856;recepcja@hotelstaromiejski.com.pl;sta≥y;***;hotel;97-300 PiotrkÛw Trybunalski, Rynek Trybunalski 1
1470;ZAMKOWY;16 671 83 12;hotel@krasiczyn.com.pl;sta≥y;***;hotel;37-741 Krasiczyn, -
1471;HOTEL TENIS;77 42 70 840;P.IWO@WP.PL;sta≥y;***;hotel;46-053 Chrzπstowice, oPOLSKA 15
1472;"""ARTUS""";58 320 96 00;recepcja@artushotel.com.pl;sta≥y;***;hotel;80-831 GdaÒsk, PIwna 36-39
1473;DIAMENT II;65 54638 23;hotel-diament@pieprzyk.pl;sta≥y;***;hotel;63-900 Rawicz, sarnowska 18a
1474;BATORY;(18) 262-02-07;recepcja@batory-hotel.pl;sta≥y;***;hotel;34-460 Szczawnica, ul. Park GÛrny 13
1475;Galeria Glorietta;0-13/4251100;glorietta @vp.pl;sta≥y;***;hotel;38-440 Iwonicz-ZdrÛj, Al. S≥oneczna 7
1476;"""CENTRUM""";0-55 613-13-66;;sta≥y;***;hotel;82-500 Kwidzyn, Kopernika 32A
1477;L'ASCADA;61 28 41 910;;sta≥y;***;hotel;63-100 åremskie Przedmieúcie, ch≥apowskiego 1
1478;STAROPOLSKI GOåCINIEC;34 35 93 570;biuro@staropolskigosciniec.pl;sta≥y;***;hotel;46-310 Zdziechowice, zdziechowice
1479;DOBRODZIEJ;(65) 536 00 89;;sta≥y;***;hotel;64-120 Krzemieniewo, LeszczyÒska 110
1480;SOLNY;12 289-00-12;recepcja@hotelsolny.pl;sta≥y;***;hotel;32-020 Wieliczka, ul. Grottgera 27
1481;DWOREK;"17 228 0588;";biuro@hoteldworek.pl;sta≥y;***;hotel;36-100 Kolbuszowa, Rzeszowska 16
1482;VESTINA;91-32-81-121;recepcja@hotelvestina.pl;sta≥y;***;hotel;72-500 MiÍdzyzdroje, Promenada Gwiazd 30
1483;HOTEL SZARA WILLA;0-77/441-45-70;;sta≥y;***;hotel;45-052 Opole, Oleska 11
1484;Pa≥ac Przybyszewo;;;sta≥y;***;hotel;64-100 Przybyszewo, Przybyszewo
1485;Sunny;;;sta≥y;***;hotel;60-002 PoznaÒ, Kowalewicka
1486;OAZA;0-77/4068480, 4;;sta≥y;***;hotel;48-200 Prudnik, ZwyciÍstwa 2
1487;FLORA;62 757 46 50;;sta≥y;***;hotel;62-800 Kalisz, wiatraki 3
1488;HOTEL CAMPANILE;22 582 72 01;warszawa@campanile.com;sta≥y;***;hotel;00-811 Warszawa, Towarowa 2
1489;FOLWARK;42 716 21 91;kontakt@folwarkzgierz.pl;sta≥y;***;hotel;95-100 Zgierz, Aleksandrowska 63a
1490;STARA SZMERGIELNIA;32 821-81-30,;biuro@staraszmergielnia.pl;sta≥y;***;hotel;43-300 Bielsko-Bia≥a, Cyprysowa 63
1491;ZAJAZD KAROLINKA;0774009460, kom;info@zajazdkarolinka.pl;sta≥y;***;hotel;47-320 Gogolin, Kasztanowa 30
1492;GOåCINIEC SUCHOLESKI;61 892 69 92;recepcja@gosciniec-sucholeski.com.pl;sta≥y;***;hotel;62-002 Suchy Las, sucholewska 6
1493;TRYLOGIA;227 718 224;hotel@klobgalop.pl;sta≥y;***;hotel;05-220 Zielonka, Poniatowskiego 46A
1494;Mats;;;sta≥y;***;hotel;60-378 PoznaÒ, Bu≥garska 115
1495;HOTEL D BOWE WZG”RZE;77/ 4397729;rezerwacja@debowewzgorze.eu;sta≥y;***;hotel;48-267 Pokrzywna, bez nazwy
1496;KONSTANCJA;42 633-60-10;biuro@hotelkonstancja.pl;sta≥y;***;hotel;95-050 KonstantynÛw £Ûdzki, NiesiÍcin 28
1497;ZAJAZD U DZIADKA;774547222;udziadka@vp.pl;sta≥y;***;hotel;45-525 Opole, Strzelecka 55
1498;JANTAR SPA;943522259;recepcja@jantarspa.pl;sta≥y;***;hotel;78-100 Ko≥obrzeg, Prof. T. RafiÒskiego 10-14
1499;EUROPEUM;(071) 371-45-00;europeum@europeum.pl;sta≥y;***;hotel;50-077 Wroc≥aw, Kazimierza Wielkiego 27a
1500;MAGGI;672 617 056;hotel.maggi@wp.pl;sta≥y;***;hotel;64-610 Rogoüno, ciesle 14a
1501;"""JASTARNIA""";518 919 170;biuro@hoteljastarnia.com.pl;sta≥y;***;hotel;84-140 Jastarnia, Portowa 35
1502;GREEN HOTEL;061 810 80 75;rezerwacja@greenhotel.pl;sta≥y;***;hotel;62-052 Komorniki, Jeziorna 1a
1503;KONGRESOWY;41 33-26-393;hotel@kongresowy.pl;sta≥y;***;hotel;25-323 Kielce, Al. Solidarnoúci 34
1504;GRZEGORZEWSKI;42-614-34-22;recepcja@hotel-tuszyn.eu;sta≥y;***;hotel;95-080 Tuszyn, 3-go Maja 59
1505;HOTEL CZERNIEWSKI;788-840-003;recepcja@hotelczerniewski.pl;sta≥y;***;hotel;02-231 Warszawa, Jutrzenki 119
1506;HOTEL & RESTAURACJA & CAFE GOåCINIEC NAD IN•;91-886-91-60;biuro@gosciniecnadina.com.pl;sta≥y;***;hotel;73-110 Øarowo, 2f
1507;GRANADA;627 387 310;hotel@hotelgranada.pl;sta≥y;***;hotel;63-400 OstrÛw Wielkopolski, Wroc≥awska 93
1508;"""BEST WESTERN PLUS ARKON PARK""";58 731-55-55;recepcja@hotelarkonpark.pl;sta≥y;***;hotel;80-384 GdaÒsk, ålπska 10
1509;GRINGO;673 532 440;restauracja@gringo.pila.pl;sta≥y;***;hotel;64-920 Pi≥a, ogrodowa 25
1510;POD D BEM;502-128-966;;sta≥y;***;hotel;26-500 Szyd≥owiec, rynek Wielki 5
1511;HOTEL PA£AC;17 772 34 05;hotel@palac.rzeszow.pl;sta≥y;***;hotel;36-002 Jasionka, Jasionka 1D
1512;"""HEBAN""";056-652-15-55;;sta≥y;***;hotel;87-100 ToruÒ, Ma≥e Garbary 7
1513;S KOWSKI;767213160;biuro@hotelsekowski.pl;sta≥y;***;hotel;59-220 Legnica, GLIWICKA 15
1514;KARCZYCE;713171885;biuro@hotelbielany.com.pl;sta≥y;***;hotel;55-311 Kostom≥oty, KARCZYCE 31A
1515;M HOTEL SOSNOWIEC;+48 32 363 63 0;reservation@mhotelsosnowiec.pl;sta≥y;***;hotel;41-208 Sosnowiec, wojska polskiego 199
1516;MCT;62 740 77 00;biuro@mct.zerkow.pl;sta≥y;***;hotel;63-210 ØerkÛw, Parkowa 6
1517;OLYMPIC;67 254 55 73;;sta≥y;***;hotel;64-512 Wronki, leúna 15a
1518;HI-FI;614 450 000;info@hotel-hifi.pl;sta≥y;***;hotel;64-300 PaproÊ, PaproÊ 24
1519;TADEUSZ;(0 12)386-00-66;restauracja.tadeusz@interia.pl;sta≥y;***;hotel;32-100 Proszowice, ul. 3 Maja 82 AB
1520;HAMPTON BY HILTON WARSAW CITY CENTRE;695-605-602;;sta≥y;***;hotel;00-640 Warszawa, WspÛlna 72
1521;"""POD OR£EM""";56-6225024;;sta≥y;***;hotel;87-100 ToruÒ, Mostowa 17
1522;CHOPIN;12 299-00-0;info@chopinhotel.com;sta≥y;***;hotel;31-547 KrakÛw, ul. Przy Rondzie 2
1523;SAVANA;(0 12)284-17-76;biuro@petro-tar.pl;sta≥y;***;hotel;32-015 K≥aj, £Íøkowice 109
1524;SZELC”W;13 469 60 80;hotelszelc@wp.pl;sta≥y;***;hotel;38-600 Lesko, Pi≥sudskiego 37
1525;SALVADOR;(91) 570 44 22;biuro@hotel-salvador.pl;sta≥y;***;hotel;72-400 Pyrzyce, LipiaÒska 30
1526;HOTEL RESTAURACJA ARTI;87-520-00-25;biuro@hotelarti.pl;sta≥y;***;hotel;19-500 Go≥dap, PodgÛrna 2
1527;POLONIA;566 571 800;hotel@polonia.torun.pl;sta≥y;***;hotel;87-100 ToruÒ, Plac Teatralny 5
1528;CHATA ZA WSI•;(075) 713-17-47;rezerwacja@chata.dip.pl;sta≥y;***;hotel;58-533 Mys≥akowice, GÛrska 1
1529;"""Pa≥ac""";3486778;;sta≥y;***;hotel;85-036 MyúlÍcinek, Konna 10
1530;MELODIA;618 140 899;melodia.buk@wp.pl;sta≥y;***;hotel;64-320 Buk, lipowa 28
1531;MADELAINE;501069420;;sta≥y;***;hotel;59-600 LwÛwek ålπski, H.BRODATEGO 2
1532;ELJAN;95 762-04-97;hoteleljan@hoteleljan.com.pl;sta≥y;***;hotel;66-530 Drezdenko, Ogrodowa 4
1533;åWIATOWIT;0-42 636-36-37;swiatowit@hotelspt.com.pl;sta≥y;***;hotel;90-432 £Ûdü, AL.Koúciuszki 68
1534;SALVADOR;(91) 570 44 22;biurp@hotel-salcador.pl;sta≥y;***;hotel;72-400 Pyrzyce, LipiaÒska 30
1535;KRACOW RESIDENCE;(12) 421-74-74;recepcja@kracowresidence.pl;sta≥y;***;hotel;31-035 KrakÛw, ul. Starowiúlna 62
1536;KARKONOSZE;(075) 761-82-77;;sta≥y;***;hotel;58-540 Karpacz, Wolna 4
1537;KORONA;+48 32 41126 66;biuro@restauracjakorona.pl;sta≥y;***;hotel;44-207 Rybnik, rybnicka 9a
1538;WAWEL;12 424-13-00;hotel@hotelwawel.pl;sta≥y;***;hotel;31-002 KrakÛw, ul. Poselska 22
1539;OSADA KARB”WKO WELLNESS & SPA;566 839 601;biuro@osadakarbowko.pl;sta≥y;***;hotel;87-408 Elgiszewo, elgiszewo 37
1540;WODNIK;94- 35 15 523;info@wodnik.pl;sta≥y;***;hotel;78-111 Ustronie Morskie, Koúciuszki 5
1541;ØU£AWY;55-234-57-11;hotel@hotel-zulawy.com.pl;sta≥y;***;hotel;82-300 Elblπg, KrÛlewiecka 126
1542;"HOTEL ""GOTYK""";566 584 000;hotel@hotel-gotyk.com.pl;sta≥y;***;hotel;87-100 ToruÒ, Piekary 20
1543;"""Martina""";052-30-280731;;sta≥y;***;hotel;88-400 Ønin, Mickiewicza 37
1544;Regius;;;sta≥y;***;hotel;46-020 Czarnowπsy, Jagie≥≥y 8A
1545;SHUMA;+48 32 264 43 7;hotel@shuma.pl;sta≥y;***;hotel;41-303 Dπbrowa GÛrnicza, øeglarska 20
1546;IMPRESSA;81 517 55 22;biuro@impressa.pl;sta≥y;***;hotel;24-220 Niedrzwica Duøa, Be≥øycka 14
1547;"""VILLA BALTICA""";0 - 58 555 -;hotel@villabaltica.com;sta≥y;***;hotel;81-777 Sopot, Emilii Plater 1
1548;METROPOL;61 28 32 160;info@hotel-metropol.pl;sta≥y;***;hotel;63-100 årem, Pl. 20 paxdziernika 43
1549;LORD;15 864 13 66;rezerwacje@hotel-lord.com.pl;sta≥y;***;hotel;28-200 StaszÛw, Nasienna 8
1550;MALTA—SKI;(0 12)431-00-10;maltanski@donimirski.com;sta≥y;***;hotel;31-101 KrakÛw, ul. Straszewskiego 14
1551;ETIUDA;81 718 70 00;recepcja@hoteletiuda.pl;sta≥y;***;hotel;20-050 Lublin, Szerokie 123A
1552;"Hotel ""Spichrz""";566 571 140;;sta≥y;***;hotel;87-100 ToruÒ, Mostowa 1
1553;GALICJA;(12) 291-40-40;recepcja@galicja.pl;sta≥y;***;hotel;32-020 Wieliczka, ul. Dembowskiego 20
1554;HOTEL DIAMENT BELLA NOTTE;32-606-84-84;bellanotte@hotelediament.pl;sta≥y;***;hotel;41-500 ChorzÛw, Paderewskiego
1555;HOTEL NAD MROG•;0-46 874-24-75,;hotel@rochna.pl;sta≥y;***;hotel;95-060 Rochna, p-ta Brzeziny
1556;INES;17 22 16 431;recepcja@hotelines.pl;sta≥y;***;hotel;39-120 SÍdziszÛw Ma≥opolski, Weso≥a 12
1557;SZRENICA;(075) 717-35-99;hotel szrenica@bomabol.pl;sta≥y;***;hotel;58-580 Szklarska PorÍba, Turystyczna 29
1558;DOWHA—;523327273;poczta@hoteldowhan.tfirma.pl;sta≥y;***;hotel;86-170 Nowe, Tczewska 9
1559;MISTRAL;+48 (0-22) 781-;info@hotelmistral.pl;sta≥y;***;hotel;05-270 Marki, S≥oneczna 1
1560;PREZYDENT;447101555;recepcja@prezydenthotel.pl;sta≥y;***;hotel;97-214 Spa≥a, Hubala 15
1561;CLASSIC;( 12) 424-03-03;hotel@hotel-classic.pl;sta≥y;***;hotel;31-014 KrakÛw, ul. åw. Tomasza 32
1562;HOTEL COLOSSEUM;87-520-26-43;marketing@hotelcolosseum.pl;sta≥y;***;hotel;19-400 Olecko, Go≥dapska 12
1563;TATARSCY;33 876-41-19;recepcja@hoteltatarscy.pl;sta≥y;***;hotel;34-130 Kalwaria Zebrzydowska, ul. Sπdowa 11
1564;INTERHOUSE HOTEL;(12) 617-64-00;hotel@interhousehotel.pl;sta≥y;***;hotel;31-201 KrakÛw, ul. Bratys≥awska 2
1565;SASANKA;(075) 752-80-00;hotel-sasanka@wp.pl;sta≥y;***;hotel;58-580 Szklarska PorÍba, S≥owackiego 4
1566;Protea;757 346 560;hotel@protea.com.pl;sta≥y;***;hotel;59-700 Boles≥awiec, Brzozowa 1E
1567;WASIK;486184422;recepcja@hotelwasik.pl;sta≥y;***;hotel;26-505 OroÒsko, krogulcza sucha 65
1568;MAJOR;(0 12)397-70-00;krakow@majorhotel.pl;sta≥y;***;hotel;31-323 KrakÛw, ul. GdyÒska 6
1569;POD KAMYKIEM;(12) 636-17-48;hotel@podkamykiem.pl;sta≥y;***;hotel;"30-199 KrakÛw, Rzπska; ul. Balicka 51"
1570;Eurohotel;(61) 647 47 47;recepcja@eurohotel.swarzedz.pl;sta≥y;***;hotel;62-020 SwarzÍdz, Cieszkowskiego 33
1571;Orange Przeümierowo;;;sta≥y;***;hotel;62-081 Przeümierowo, PoznaÒska 14
1572;DW”R SZCZEPA—KICH;32 22 15 562;recepcja@dworszczepanskich.pl;sta≥y;***;hotel;43-188 Woszczyce, D≥ugosza 1
1573;WILLA ADRIANA;24-267-32-76;;sta≥y;***;hotel;09-400 P≥ock, k. wielkiego 13
1574;VIA APPIA;22-720-96-45;;sta≥y;***;hotel;05-090 SÍkocin Stary, Al. krakowska 116
1575;"""MHOTEL""";0-42 652-99-90;mHotel@mHotel.eu;sta≥y;***;hotel;91-222 £Ûdü, åw.Teresy od Dzieciπtka Jezus 111
1576;MERCURE PIOTRK”W TRYBUNALSKI VESTIL;0-44 684-00-00;rezerwacja@vestil.pl;sta≥y;***;hotel;97-300 PiotrkÛw Trybunalski, Armii Krajowej 22C
1577;Rzymski;(61) 852 81 21;Hotel@rzymskihotel.com.pl;sta≥y;***;hotel;61-827 PoznaÒ, al.Karola Marcinkowskiego 22
1578;ELIDA;33-866-11-60;info@elida.com.pl;sta≥y;***;hotel;34-312 MiÍdzybrodzie Bialskie, Graniczna 11
1579;ARBITER HOTEL;483320860;radom@arbiterhotel.pl;sta≥y;***;hotel;26-600 Radom, p.micha≥owskiego 1
1580;PER£A;(12) 267-31-92;rezerwacja@hotelperla.com.pl;sta≥y;***;hotel;30-435 KrakÛw, ul. ZakopiaÒska 180 B
1581;ECO;0-46 830-00-05;biuro@hotel-eco.pl;sta≥y;***;hotel;99-400 £owicz, Podrzeczna 22
1582;"""WROTA KASZUB""";0-58 687 - 64;rezerwacja@wrotakaszub.pl;sta≥y;***;hotel;83-430 Stara Kiszewa, KonarzyÒska 16
1583;CONCORDIA;726000026;biuro@hotelconcordia.pl;sta≥y;***;hotel;58-562 Zache≥mie,
1584;NAWIGATOR;(18) 262-23-46;recepcja@szczawnicanawigator.pl;sta≥y;***;hotel;34-460 Szczawnica, ul. Zdrojowa 28
1585;CENTRUM SOSNOWIEC;+48 32 266 97 23;recepcja@hotelcentrumsosnowiec.pl;sta≥y;***;hotel;41-200 Sosnowiec, Modrzejowska 3
1586;FLORA;42 655-72-45,;rezerwacja@flora-hotel.eu;sta≥y;***;hotel;91-231 £Ûdü, Hodowlana 15
1587;"""PANORAMA""";(+48 46) 857-60;"hotel@hpm.com.pl; recepcja@hpm.com.pl";sta≥y;***;hotel;96-320 MszczonÛw, TarczyÒska 109a
1588;BIA£Y DOM;32-757-14-10;hotel@bia≥ydom.pl;sta≥y;***;hotel;44-177 PaniÛwki, Darwina
1589;DOM NAD RZEK•;95 717-21-06;hotel@domnadrzeka.com.pl;sta≥y;***;hotel;66-440 Skwierzyna, Mostowa 3
1590;ZACISZE;+48 33 860 15 10;biuro@hotelzacisze.pl;sta≥y;***;hotel;34-350 Cisiec, Turystyczna 1
1591;KLAUDIA;(0 33)879-09-25;recepcja@hotelklaudia.pl;sta≥y;***;hotel;34-231 Juszczyn, Juszczyn 474
1592;GEM;(071) 372-90-13;hotel@hotelgem.com.pl;sta≥y;***;hotel;51-605 Wroc≥aw, Mianowskiego 2B
1593;VERDE;0-94/341-61-23,;;sta≥y;***;hotel;76-037 Múcice, KoszaliÒska 1
1594;RYTWIANY CENTRUM BIZNESU, ZDROWIA I URODY;15 864 74 12;hotel@hotelrytwiany.pl;sta≥y;***;hotel;28-236 Rytwiany, Radziwi≥≥a 19A
1595;AQUA;468541646;aqua@zyrardow.pl;sta≥y;***;hotel;96-300 ØyrardÛw, Stefana Jod≥owskiego 25/27
1596;SANTORINI;12 680-51-95;hotel@santorini.krakow.pl;sta≥y;***;hotel;31-751 KrakÛw, ul. Bulwarowa 35B
1597;RENESANS;(84) 639 20 01,;hotelrenesans@hoga.pl;sta≥y;***;hotel;22-400 ZamoúÊ, ul. Grecka 6
1598;TUMSKI;(071) 322 60 99;firma@integer.com.pl;sta≥y;***;hotel;50-266 Wroc≥aw, Wyspa S≥odowa 10
1599;åwieradÛw;757 816 346;hotelswieradow@wp.pl;sta≥y;***;hotel;58-850 , Pi≥sudskiego 29
1600;IMPERIUM;566 752 107;hotel-imperium@wp.pl;sta≥y;***;hotel;87-140 Che≥møa, Mickiewicza 5
1601;DWA KSI ØYCE;81 881 08 33;recepcja@dwaksiezyce.com.pl;sta≥y;***;hotel;24-120 Kazimierz Dolny, sadowa 15
1602;"""ZIMOWIT""";17 850 15 14;HOTEL@ZIMOWIT.PL;sta≥y;***;hotel;35-307 RzeszÛw, aL. ARMII kRAJOWEJ 4
1603;KANTORIA;(14) 621-51-24;recepcja@kantoria.pl;sta≥y;***;hotel;33-100 TarnÛw, ul. Pi≥sudskiego 28 A
1604;NOWA-SKI;757 546 600;rezerwacja@nowa-ski.pl;sta≥y;***;hotel;58-540 Karpacz, Mostowa 9
1605;"""PALATIUM""";(+48 46) 857-89;palatium@hot.pl;sta≥y;***;hotel;96-321 Huta Øabiowolska, Przy Trasie 6
1606;"""BAYJONN""";0-58 732-75-63;recepcja@bayjonnhotel.pl;sta≥y;***;hotel;81-718 Sopot, PowstaÒcÛw Warszawy 7
1607;"""HOTEL KOWALKOWSKI""";056-4613480;kowalkowski@grudziadz.net;sta≥y;***;hotel;86-300 Grudziπdz, Chopina 1/3
1608;HIBISKUS;17 871 15 92;hotel@hibiskus.rzeszow.pl;sta≥y;***;hotel;36-040 Zarzecze, zarzecze 19
1609;RT REGENT;12 430-62-34;regent@rthotels.com.pl;sta≥y;***;hotel;31-059 KrakÛw, ul. Boøego Cia≥a 19
1610;MILENIUM;0-44 684-24-60;hotel.millenium@interia.pl;sta≥y;***;hotel;97-545 Gomunice, Wojska Polskiego 7
1611;BIELANY;(071) 335 29 00;;sta≥y;***;hotel;55-075 , KleciÒska 3
1612;PIASKOWY;32 447-44-40 d;hotel@hotelpiaskowy.pl;sta≥y;***;hotel;43-200 Pszczyna, PiechurÛw 3
1613;"""Ma≥opolska""";134 481 488;;sta≥y;***;hotel;38-200 Jas≥o, Wojska Polskiego 13a
1614;NOWODWORSKI;767220991;hotel@hotelnowodworski.pl;sta≥y;***;hotel;59-220 Legnica, Nowodworska 30
1615;SITARSKA;84 68 60 118;hotel@sitarska.pl;sta≥y;***;hotel;23-400 Bi≥goraj, 3-go Maja 21
1616;PANORAMA HOTEL;91-460-76-07;;sta≥y;***;hotel;70-752 Szczecin, Radosna 60
1617;ASTOR;483656363;;sta≥y;***;hotel;26-600 Radom, Chorzowska 1
1618;"HOTEL ""KOPERNIK""";566 597 333;kopernik@hotelewam.pl;sta≥y;***;hotel;87-100 ToruÒ, Wola Zamkowa 16
1619;"""CITY M. W.""";564 626 037;recepcja@hotel-city.pl;sta≥y;***;hotel;86-300 Grudziπdz, ToruÒska 28\30
1620;FOLWARK STARA WINIARNIA;18 331-23-82;biuro@folwarkstarawiniarnia.pl;sta≥y;***;hotel;34-730 Mszana Dolna, ul. Ogrodowa 2
1621;K SZYCA LEåNA;957418201;hotel@hotelkeszycalesna.pl;sta≥y;***;hotel;66-300 KÍszyca Leúna, KÍszyca Leúna 57
1622;FALCON;17 700 01 70;biuro@hotelfalcon.pl;sta≥y;***;hotel;35-207 RzeszÛw, jastrzÍbia 29
1623;MIR-JAN;(074) 814-63-39;;sta≥y;***;hotel;57-540 Lπdek-ZdrÛj, Koúciuszki 78
1624;Nestor;;;sta≥y;***;hotel;64-800 Podanin, Podanin
1625;TRZY KORONY;81 886 44 44;recepcja@trzy-korony.com;sta≥y;***;hotel;24-100 Pu≥awy, 6-go sierpnia 43b
1626;STANGRET;41 349-25-48;info@stangret-kielce.pl;sta≥y;***;hotel;25-045 Kielce, KusociÒskiego51
1627;KORONA;158344428;rezerwacja@hotelkorona.eu;sta≥y;***;hotel;27-600 Sandomierz, S≥owackiego 6
1628;ISKIERKA BUSINESS & SPA;17 788 16 96;;sta≥y;***;hotel;39-300 Mielec, wojska polskiego 3
1629;KONRAD”WKA;(075) 76-18-173;;sta≥y;***;hotel;58-540 Karpacz, Nad £omnicπ 20 c
1630;CONSTANCJA;34-363-12-24;recepcja@hotelconstancja.pl;sta≥y;***;hotel;42-200 CzÍstochowa, Rydza åmig≥ego 28
1631;Arte;77 424 02 90;;sta≥y;***;hotel;49-300 Brzeg, Chrobrego 17
1632;AKACJOWY DW”R;(91) 50 65 010;info@akacjowydwor-spa.pl;sta≥y;***;hotel;73-131 TrzebiatÛw, TrzebiatÛw 14
1633;HOTEL PRIMAGOR;48 617-45-60;primagor@primagor.eu;sta≥y;***;hotel;26-500 Szyd≥owiec, SpÛ≥dzielcza 2c
1634;VIGO;570222606;;sta≥y;***;hotel;91-041 £Ûdü, Limanowskiego 126
1635;FAJKIER;783 000 500;recepcja@hotelfajkier.pl;sta≥y;***;hotel;42-425 Kroczyce, Lgota Murowana 37 a
1636;SECESJA;(12) 430-74-64;hotel@hotelsecesja.krakow.pl;sta≥y;***;hotel;31-065 KrakÛw, ul. PauliÒska 24
1637;WR”BL”WKA;+48 33 816 90 72;recepcja@wroblowka.com.pl;sta≥y;***;hotel;43-300 Bielsko-Bia≥a, Krakowska 608
1638;CKS MAGELLAN;0-44 615-43-50;recepcja@hotelmagellan.pl;sta≥y;***;hotel;97-320 Bronis≥awÛw, Øeglarska 35/31
1639;ARENA;32 32 32 222;hotel@hotelarena.com.pl;sta≥y;***;hotel;43-100 Tychy, de Gaulle'a
1640;WARMI—SKI HOTEL & CONFERENCE;89-522-14-00;hotel@hotel-warminski.com.pl;sta≥y;***;hotel;10-442 Olsztyn, Ko≥obrzeska 1
1641;TOBACO;422070707;recepcja@hoteltobaco.pl;sta≥y;***;hotel;90-553 £Ûdü, Kopernika 62
1642;ZORNICA;034/ 327-48-80;zornica@zornica-hotel.pl;sta≥y;***;hotel;42-262 Poczesna, Spadowa 4
1643;JASEK;(071) 346-22-16;;sta≥y;***;hotel;51-180 Wroc≥aw, Su≥owska 39
1644;OLEåNICA;717256292;;sta≥y;***;hotel;55-200 Oleúnica Ma≥a,
1645;AROS;32 777 17 00;;sta≥y;***;hotel;43-100 Tychy, OúwiÍcimska 51
1646;"""R”ØANY GAJ""";58 719 55 55;recepcja@rozanygaj.pl;sta≥y;***;hotel;81-376 Gdynia, Korzeniowskiego 19D
1647;PANORAMA;82 571 70 25;panoramahotel@op.pl;sta≥y;***;hotel;22-232 Okuninka, Okuninka VIII-12
1648;NOSALOWY DW”R;18 202-24-00;hotel@nosalowy-dwor.eu;sta≥y;***;hotel;34-500 Zakopane, ul. Balzera 21 D
1649;WYSPIA—SKI;12 422-95-66;wyspianski@janpol.com.pl;sta≥y;***;hotel;31-033 KrakÛw, ul. Westerplatte 15
1650;ØO£YNIANKA;17 867 45 11;annastopyra@zolynianka.pl;sta≥y;***;hotel;37-110 Øo≥ynia, bikÛwka 2d
1651;LEåNY DW”R;41 362-10-88;hotel@lesnydwor.com.pl;sta≥y;***;hotel;25-043 Kielce, Szczepaniaka 40
1652;"HOTEL ""BARTIS""";89-762-17-50;;sta≥y;***;hotel;11-200 Bartoszyce, Pl. Konstytucji 3 Maja 5
1653;ARKADIA;226785055;;sta≥y;***;hotel;03-671 Warszawa, RadzymiÒska 182
1654;WILGA;12 294-44-29;hotel@wilga.krakow.pl;sta≥y;***;hotel;30-502 KrakÛw, ul. Przedwioúnie 16
1655;WOLIN;91-328-10-35(-;;sta≥y;***;hotel;72-500 MiÍdzyzdroje, Nowomyúliwska 76
1656;BOSMAN;075/ 717 43 65;;sta≥y;***;hotel;58-580 Szklarska PorÍba, Morcinka 2
1657;MAX;;;sta≥y;***;hotel;62-030 LuboÒ, Koúciuszki 79
1658;MARIA;(12) 385-01-10;recepcja@hotel-maria.eu;sta≥y;***;hotel;32-120 Nowe Brzesko, ul. Targowa 2
